Name,total_timelines,total_keys,revisions
Riverina_Football_Netball_League,0,9,0
Australian_Lacrosse_League,1,36,11
Great_Alaska_Shootout,2,18,41
Border_League,0,7,0
Tasmanian_Football_League,2,22,241
World_Marathon_Majors,1,16,4
Canadian_Collegiate_Athletic_Association,0,6,0
South_Atlantic_Intercollegiate_Sailing_Association,0,7,0
NSW_Cup,4,22,312
Ligue_Magnus,1,17,13
National_Rookie_League,0,15,0
Ontario_University_Athletics,0,9,0
Windy_City_Rollers,0,44,0
All-American_Basketball_Alliance,0,10,0
AFL_Mackay,5,14,43
Canterbury_Australian_Football_League,0,44,0
Wellington_Australian_Football_League,0,44,0
Auckland_Australian_Football_League,1,44,1
Eastern_Australian_Football_League,3,36,4
Women%27s_Australian_Football_Association,1,20,0
Latvian_Hockey_Higher_League,2,15,53
Bandy_World_Championship,1,15,43
Scottish_Premiership_Division_One,0,6,0
West_Kimberley_Football_Association,3,21,33
AFL_Cairns,2,43,21
AFL_Canberra,0,12,0
Senior_Professional_Baseball_Association,0,18,0
Ontario_Junior_B_Lacrosse_League,1,7,8
Ontario_Junior_Lacrosse_League,1,8,2
Ontario_Series_Lacrosse,1,16,8
Major_Series_Lacrosse,0,7,0
New_England_Hockey_Conference,0,18,0
ECAC_Northeast,1,16,1
ECAC_West,1,19,4
Midwest_Collegiate_Hockey_Association,2,16,11
Western_Water_Polo_Association,1,15,5
Old_Four,0,5,0
Scottish_Premiership_Division_Two,0,6,0
Scottish_Premiership_Division_Three,1,7,6
Women%27s_Flat_Track_Derby_Association,1,14,0
Tiwi_Islands_Football_League,0,15,0
Penn_Relays,0,8,0
National_Basketball_League_(New_Zealand),2,23,58
Southern_Football_Netball_League,0,40,0
Victorian_Amateur_Football_Association,2,43,49
Dominican_Professional_Baseball_League,1,20,22
Barkly_Australian_Football_League,0,9,0
Shute_Shield,3,60,104
Professional_Gamers_League,0,39,0
Carillon_Senior_Hockey_League,1,24,1
IIHF_World_Championship_Division_I,1,9,13
State_University_of_New_York_Athletic_Conference,1,20,2
Honkbal_Hoofdklasse,1,9,31
Men%27s_Hockey_Champions_Challenge_I,1,15,0
New_England_Intercollegiate_Sailing_Association,0,7,0
Southern_States_Athletic_Conference,1,16,12
Italian_Hockey_League_-_Serie_A,1,22,12
AFL_Sydney,2,14,69
Copa_del_Rey_de_Balonmano,2,11,7
Maritime_Junior_Hockey_League,2,18,32
Valley_Baseball_League,1,44,19
Rockingham_County_Baseball_League,0,5,0
AFL_Darling_Downs,2,43,23
Eastern_Conference_(MLS),1,10,27
Central_Division_(MLS),0,10,0
Swiss_League,2,17,20
Eastern_Football_Netball_League,0,40,0
Dubai_Sevens,1,9,7
BB%26T_Classic,1,17,0
FIBA_Kora%C4%87_Cup,0,23,0
Western_Region_Football_League,0,40,0
North_Eastern_Alberta_Junior_B_Hockey_League,1,18,3
Pacific_Junior_Hockey_League,1,17,19
Prairie_Junior_Hockey_League,1,15,13
Vancouver_Island_Junior_Hockey_League,0,17,0
Scottish_League_Championship,0,12,0
Bottle_Match,0,12,0
Hanover_Tache_Junior_Hockey_League,1,15,3
Manitoba_Major_Junior_Hockey_League,1,16,9
Qu%27Appelle_Valley_Hockey_League,1,14,0
Metal_Ligaen,1,26,13
Irish_Ice_Hockey_League,1,9,25
Liga_Nacional_de_Hockey_Hielo,1,20,14
New_Zealand_Ice_Hockey_League,2,16,19
Venezuelan_Professional_Baseball_League,0,18,0
Australian_Baseball_League_(1989%E2%80%931999),0,17,0
Connacht_Schools_Rugby_Senior_Cup,2,7,8
Scottish_National_League_Division_One,0,13,0
Leinster_Schools_Junior_Cup,0,9,0
Women%27s_National_Invitation_Tournament,2,21,0
Alberta_Elite_Hockey_League,2,14,17
ARCA_Lincoln_Welders_Truck_Series,1,7,4
IIHF_Continental_Cup,1,23,14
Supreme_Hockey_League,4,22,143
East_Regional_League_(rugby_union),0,9,0
Australian_Basketball_Association,1,18,3
World_Basketball_Association,0,14,0
World%27s_Strongest_Woman,1,9,0
St._Louis_Intercollegiate_Athletic_Conference,1,16,5
Cuban_League,0,7,0
South_East_Australian_Basketball_League,1,15,24
Bay_Conference,0,8,0
Queensland_Australian_Football_League,2,39,118
Empire_8,1,20,10
Australian_Hockey_League,1,12,59
Laurentides-Lanaudi%C3%A8re_Junior_AA_Hockey_League,0,12,0
Chaudiere-Appalaches_Junior_AA_Hockey_League,0,10,0
Estrie-Mauricie_Junior_AA_Hockey_League,0,11,0
QubicaAMF_Bowling_World_Cup,1,11,17
Alps_Tour,1,25,2
Japan_Challenge_Tour,0,25,0
Pro_Golf_Tour,1,25,3
European_Baseball_Championship,1,11,22
Central_Division_(NHL),0,9,0
Fox_Valley_Conference,0,8,0
Netball_at_the_Commonwealth_Games,0,9,0
National_Collegiate_Roller_Hockey_Association,1,17,3
Cahokia_Conference,0,7,0
Southwest_Division_(NBA),0,8,0
Eastern_Intercollegiate_Volleyball_Association,0,13,0
Saguenay-Lac-St-Jean_Junior_AA_Hockey_League,0,10,0
M%C3%A9tropolitaine_Junior_AA_Hockey_League,2,16,0
Capitale_Junior_AA_Hockey_League,0,10,0
Eastern_Conference_(NHL),4,9,63
Western_Conference_(NHL),4,9,78
Connacht_Schools_Junior_Cup,2,7,14
European_Cup_(baseball),1,9,15
International_Federation_of_Strength_Athletes,0,10,0
Hellenic_Basketball_Association,0,18,0
Kyabram_District_Football_Netball_League,0,10,0
Greek_Super_Cup,0,7,0
Northern_Football_Netball_League,0,23,0
Campeonato_Argentino_Abierto_de_Polo,1,39,64
MIAA_Division_1A_boy%27s_ice_hockey_tournament,2,11,0
LNV_Ligue_A_Masculine,1,30,87
Big_V,0,40,0
Bendigo_Football_Netball_League,1,29,23
Picola_%26_District_Football_Netball_League,1,26,0
Philippine_Basketball_League,1,5,86
Liga_Nacional_de_Baloncesto_Profesional,1,17,18
NBL1_North,3,26,20
NBL1_Central,3,22,28
Italian_Baseball_League,0,22,0
Mexican_Pacific_League,3,27,83
International_League,1,16,67
NBL1_East,1,20,22
Wisconsin_Collegiate_Conference,1,15,1
World_e-Sports_Games,1,38,1
Australian_Football_League,1,25,217
Ohio%E2%80%93Pennsylvania_League,0,18,0
Northwest_Division_(NBA),0,8,0
Atlantic_Division_(NBA),0,8,0
Central_Division_(NBA),0,8,0
Southeast_Division_(NBA),0,8,0
Pacific_Division_(NBA),0,8,0
Big_6_Hockey_League,0,23,0
Highway_Hockey_League,1,11,2
HockeyAllsvenskan,2,19,30
IIHF_World_Championship_Division_II,1,9,13
IIHF_World_Championship_Division_III,1,9,13
North_West_Football_League,3,40,11
Dixie_Classic_(basketball_tournament),0,11,0
Classic_Lake_Conference,0,12,0
Lake_Conference,0,12,0
New_Zealand_Sevens_(tournament),2,11,24
