Name,total_timelines,total_keys,revisions
Mykola_Mikhnovsky,0,20,0
Mark_Block,0,16,0
K._Aiyadurai,0,29,0
Vilim_Herman,0,16,0
Delfina_Ortega_D%C3%ADaz,1,17,0
Jakob_Edelstein,0,23,0
Jaguar_(musician),2,24,46
T._N._Anandanayaki,0,21,0
Mandour_Elmahdi,0,10,0
Adolf_Grimme,0,15,0
Tedo_Isakadze,0,9,0
Fritz_Neugebauer,3,11,4
J%C3%B3zsef_Ber%C3%A9nyi,3,12,0
Peter_%C3%96stman,3,11,0
Sauli_Ahvenj%C3%A4rvi,2,10,0
Jouko_J%C3%A4%C3%A4skel%C3%A4inen,2,12,0
Hans_Lukaschek,0,15,0
Barry_Wynn,1,9,0
George_G._Graham,0,14,0
Daniel_I._Ross_Jr.,1,20,0
Jesse_L._Cooksey,1,15,2
C._Kenneth_Powell,1,18,0
Raymond_A._Harris,1,14,1
Van_Hipp_Jr.,1,22,13
Gladys_Mar%C3%ADa_Bejerano_Portela,2,14,0
Omar_Quesada,4,21,1
Adolfo_Toledo_Infanz%C3%B3n,1,15,0
Bob_Ely,1,8,17
Ana_de_Hollanda,2,16,4
Mohamed_Hassan_Nuriye,2,13,12
Fred_Carl_(politician),0,21,0
Hanifa_Safi,1,13,9
"Jos%C3%A9_Manuel_da_Silva,_Baron_of_Tiet%C3%AA",0,25,0
John_Smith_Hollins,0,27,0
Andrew_Dutney,7,23,41
Beth_Myers,0,9,0
Vincenzo_Russo,0,9,0
Harald_Beyer_(politician),3,26,28
Marta_Linares_de_Martinelli,2,12,7
Johannes_Abeel,0,13,0
Leopold_Belliveau,0,26,0
Leong_Yew_Koh,0,25,0
Freya_(cat),4,18,87
Nethi_Vidya_Sagar,3,11,19
Edmilson_Rodrigues,6,12,10
Mike_King_(transportation_executive),2,18,48
Richard_Tsoi,3,26,0
Carlota_Pereira_de_Queir%C3%B3s,0,25,0
Rey_Malonzo,1,21,0
Jose_Mari_Gonzales,1,15,42
Bobet_Vidanes,1,16,21
Henryk_Cioch,3,13,22
Lawrence_Anastasia,1,11,0
George_Lockwood_(politician),2,15,0
Charles_A._Scofield,2,16,8
George_Buxton,1,11,0
Ferdinand_B._Smith,1,18,2
Arthur_C._Wheeler,1,14,0
Yorke_Allen_Jr.,1,8,0
Elizabeth_Chifley,0,18,0
Veljko_Ostoji%C4%87,2,12,0
Thaddeus_Betts_(physician),0,15,0
John_L._Richards,1,21,2
James_Richards_(politician),0,14,0
Ali_Jangali,2,19,5
William_Roesch,0,14,0
Hanif_Abbasi,2,27,49
Langdon_Goodyear_Jr.,1,25,0
Albert_A._Ultcht,3,14,8
Johann_Ludwig_Dammert,0,24,0
Arjo_Atayde,8,27,423
Gabriela_Lemus,0,9,0
Iftikhar_Hussain_Ansari,1,15,75
Lucien_Nicolas,0,2,0
Michelle_Nunn,1,13,0
Matthew_F._Merritt,0,17,0
Julia_Schramm,1,17,25
Joseph_W._Hubbell,0,13,0
"Charles_Fanshawe,_4th_Viscount_Fanshawe",0,19,0
Alvaro_Farinacci,1,15,27
John_D._Kimmey,1,14,2
John_Douglas_(Connecticut_politician),0,11,0
Mike_McFadden,1,9,71
Christoph_Hartmann,3,13,0
John_Methuen_(diplomat),0,34,0
Hossein_Navab,0,17,0
Isaiah_Rose,0,25,0
Wong_Pow_Nee,0,29,0
Johan_O._Jarn%C3%A6s,0,4,0
Eric_E._Whitaker,1,7,0
"John_Smith_(New_South_Wales_politician,_born_1821)",0,20,0
Kasymguly_Baba%C3%BDew,2,20,0
Suzanne_Patrick,2,24,11
Sarkis_Dkhrouni,0,9,0
Eraldo_Isidori,3,19,6
Peter_Leon,2,12,12
Sobhi_Mahmassani,0,16,0
Monica_Babuc,7,21,15
Clay_Pell,5,17,81
Boris_Lozhkin,1,20,0
William_F._Russell_(Florida_politician),0,12,0
John_A._Moran,0,7,0
Zenani_Mandela-Dlamini,3,11,22
Yuval_Fuchs,2,22,1
Sid_Dinsdale,1,11,102
Rajendra_Arlekar,7,33,72
David_Domina,0,8,0
Madhavrao_Bhujangrao_Kinhalkar,0,35,0
Edward_P._Branch,1,9,4
Robert_Beasley_(burgess),0,21,0
C%C3%A2ndido_Mendes_de_Almeida,0,25,0
Andrew_Canova,1,10,8
Mark_Sension,1,11,8
Mohamed_Juma_Al_Shamisi,0,6,0
Dayanand_Narvekar,1,8,0
Yuliy_Mamchur,4,42,102
Shivaji_II,1,23,25
Mukasa_Mbidde,1,18,0
Thomas_Seamer,0,10,0
Jack_Shackelford,0,13,0
Mohabir_Anil_Nandlall,3,17,9
John_Barritt,1,11,12
Subhash_Patel,2,16,22
Abdurahman_Mohamud_Turyare,2,12,15
Joseph_Comstock,0,14,0
Mireya_Baltra,1,16,17
Friedrich_Bohl,1,13,0
Aleksandr_Uspensky,0,38,0
L._B._G._Rao,0,5,0
Uma_Nehru,0,23,0
John_Bachtell,2,18,28
Annika_Olsen,6,23,19
Mohd_Zin_Abdul_Ghani,1,19,4
Arshad_al-Salihi,1,14,0
Siyabonga_Cwele,5,25,42
Satya_Prakash_Malaviya,1,24,7
John_H._Thompson,2,15,18
Jose_Yu,0,26,0
Ng_Hong-mun,1,27,0
Viktor_Halasiuk,1,22,18
Alan_Abela-Wadge,1,19,9
Guno_Castelen,3,31,2
Gulabrao_Deokar,0,9,0
Thomas_Pascoe_(politician),0,10,0
Ant%C3%B4nio_Ricardo_dos_Santos,0,25,0
Ihor_Lutsenko_(politician),3,23,6
Mustapha_Ben_Isma%C3%AFl,0,25,0
Yuriy_Solod,2,22,10
Mohammed_Khaznadar,0,25,0
Dmytro_Shymkiv,4,34,18
Mohamed_Adan,1,12,8
Salim_Ansari,3,20,17
Sahra_Mohamed_Ali_Samatar,2,11,5
Khadra_Bashir_Ali,2,19,10
Salah_Sheikh_Osman_Mose,2,19,48
David_Abdirahman_Omar,1,13,1
Karl-Hermann_Steinberg,1,20,6
Yusuf_Mohamed_Ismail,2,16,47
John_T._McKennan,1,10,0
Liban_Ali_Yarrow,1,12,0
Terhi_Peltokorpi,3,11,4
Abdilqadir_Ali_Omar,3,12,0
Zuleika_Alambert,1,25,0
Frank_Owhor,0,22,0
Lenka_%C3%87uko,0,10,0
Ernest_Adam,0,24,0
Hugo_Adriaensens,0,24,0
Firmin_Aerts,0,24,0
Victor_Albert,1,25,0
Adolphe_Allard,0,24,0
Henri_Julien_Allard,0,24,0
Robert_Persaud,4,17,22
Jimmy_Goins,2,17,3
Harold_Stephen,0,7,0
Pattie_Deakin,0,17,0
Margaret_Fisher,0,28,0
Ethel_Bruce,0,17,0
Mykhailo_Bolotskykh,2,38,0
Olli_Immonen,2,10,1
Li_Da_(general),0,21,0
Max_Andersson_(politician),4,17,1
Hildebrando_Pascoal,0,9,0
Soumya_Swaminathan,3,17,41
George_A._Brackett,0,20,0
Fritiof_Dom%C3%B6,0,10,0
R._Ramakrishna,2,10,2
Soran_Omar,1,8,0
Fernando_de_Quintanilha_e_Mendon%C3%A7a_Dias,0,8,0
Sheikh_Liaquat_Hussain,1,12,0
Chen_Zhengren,0,0,0
Tahir_El%C3%A7i,1,40,0
Angela_Nicole_Walker,1,21,116
Bud_Pierce,1,14,10
Anders_Kompass,1,17,8
Dudu_Myeni,6,23,42
Willard_Kinzie,1,19,7
Jeff_Ettinger,0,12,0
Cielito_del_Mundo,1,18,26
Rima_Horton,4,16,60
Violeta_Ivanov,7,12,12
